Cümle,Tür,,Cümle ,Tür
Bu filmin oyuncu kadrosu muhteşemdi. ,Öznel,,Binalar insanların yaşadığı veya çalıştığı yerlerdir. ,Nesnel
O şairin dizeleri kalbime işledi. ,Öznel,,Okullar eğitim verilen yerlerdir. ,Nesnel
Bence bir arkadaşla dertleşmek her şeye değer. ,Öznel,,Hastaneler hasta insanların tedavi edildiği yerlerdir. ,Nesnel
Bu tablonun renkleri içimde neşe uyandırıyor. ,Öznel,,Mağazalar ürünlerin satıldığı yerlerdir. ,Nesnel
Onun gülüşü odayı anında aydınlatıyor. ,Öznel,,Restoranlar yemek yenen yerlerdir. ,Nesnel
Bu şarkının ritmi ruhumu coşturuyor. ,Öznel,,Parklar dinlenme alanlarıdır. ,Nesnel
O filmin finali beni tamamen şaşırttı. ,Öznel,,Müzeler tarihi eserlerin sergilendiği yerlerdir. ,Nesnel
Bu çayın tadı çocukluk anılarımı canlandırıyor. ,Öznel,,Tiyatrolar oyunların sergilendiği yerlerdir. ,Nesnel
Onun sesi kalbe huzur veriyor. ,Öznel,,Sinemalar filmlerin gösterildiği yerlerdir. ,Nesnel
Bu oyunun grafikleri gözlerimi kamaştırıyor. ,Öznel,,Kütüphaneler kitapların ödünç alınabildiği yerlerdir. ,Nesnel
O restoranın dekoru çok davetkar hissettiriyor. ,Öznel,,Havaalanları uçakların kalkıp indiği yerlerdir. ,Nesnel
Bu kitabın hikayesi beni derinden etkiledi. ,Öznel,,Limanlar gemilerin yanaştığı yerlerdir. ,Nesnel
Onun nezaketi herkesi büyülüyor. ,Öznel,,Fabrikalar ürünlerin üretildiği yerlerdir. ,Nesnel
Bu kokunun ferahlığı zihnimi açıyor. ,Öznel,,Ofisler insanların çalıştığı yerlerdir. ,Nesnel
Bu filmin atmosferi beni başka bir dünyaya taşıdı. ,Öznel,,Evler insanların yaşadığı yerlerdir. ,Nesnel
Onun espri anlayışı beni kahkahalara boğuyor. ,Öznel,,Kapılar içeri ve dışarı çıkmayı sağlar. ,Nesnel
Bu kahvenin aroması sabahlarımı güzelleştiriyor. ,Öznel,,Pencereler ışık ve hava girmesini sağlar. ,Nesnel
O tablonun detayları sanatın büyüsünü hissettiriyor. ,Öznel,,Çatılar binaları yağmurdan korur. ,Nesnel
Bu oyunun hikayesi kalbime dokundu. ,Öznel,,Duvarlar mekanları ayırır. ,Nesnel
Onun enerjisi etrafına neşe saçıyor. ,Öznel,,Zemin üzerinde yürünür. ,Nesnel
Bu pastanın kreması ağzımda eriyor. ,Öznel,,Merdivenler farklı katlara ulaşımı sağlar. ,Nesnel
O konuşmanın samimiyeti beni etkiledi. ,Öznel,,Asansörler dikey taşımacılık yapar. ,Nesnel
Bu manzaranın güzelliği nefesimi kesiyor. ,Öznel,,Sandalyeler oturmak için kullanılır. ,Nesnel
Onun yazdığı şiirler ruhumu okşuyor. ,Öznel,,Masalar üzerine eşyalar konulur. ,Nesnel
Bu filmin müzikleri hikayeyi daha güçlü kılıyor. ,Öznel,,Yataklar uyumak için kullanılır. ,Nesnel
O kafenin sıcaklığı içimi ısıtıyor. ,Öznel,,Dolaplar eşyaları saklamak için kullanılır. ,Nesnel
Bu oyunun bulmacaları zihnimi zorluyor ama eğlendiriyor. ,Öznel,,Lambalar ışık sağlar. ,Nesnel
Onun cesareti bana ilham veriyor. ,Öznel,,Saatler zamanı gösterir. ,Nesnel
Bu mumun kokusu evi bir sığınak gibi hissettiriyor. ,Öznel,,Aynalar görüntüleri yansıtır. ,Nesnel
O hikayenin kurgusu beni uykusuz bıraktı. ,Öznel,,Tablolar duvarları süsler. ,Nesnel
Bu çikolatanın tadı tam bir mutluluk kaynağı. ,Öznel,,Halılar zemini kaplar. ,Nesnel
Onun sakinliği çevresine huzur yayıyor. ,Öznel,,Perdeler ışığı engeller. ,Nesnel
Bu filmin diyalogları zekice ve etkileyici. ,Öznel,,Çatal bıçak yemek yemek için kullanılır. ,Nesnel
O şarkının melodisi içimde umut uyandırıyor. ,Öznel,,Tabaklar yemeklerin servis edildiği nesnelerdir. ,Nesnel
Bu kumaşın dokusu cildimde harika hissettiriyor. ,Öznel,,Bardaklar içecek içmek için kullanılır. ,Nesnel
Onun liderliği takımı motive ediyor. ,Öznel,,Tencereler yemek pişirmek için kullanılır. ,Nesnel
Bu oyunun dünyası beni saatlerce içine çekiyor. ,Öznel,,Buzdolapları yiyecekleri soğuk tutar. ,Nesnel
O serginin konsepti düşüncelerimi altüst etti. ,Öznel,,Çamaşır makineleri kıyafetleri temizler. ,Nesnel
Bu çorba tam bir kucaklama gibi hissettiriyor. ,Öznel,,Bulaşık makineleri bulaşıkları temizler. ,Nesnel
Onun gülümseyişi günümü aydınlatıyor. ,Öznel,,"Karadeniz, Türkiye'nin kuzeyinde yer alır. ",Nesnel
Bu filmin renk paleti görsel bir şölen sunuyor. ,Öznel,,Ege Bölgesi zeytin ağaçlarıyla ünlüdür. ,Nesnel
O dansçının hareketleri adeta bir rüya. ,Öznel,,Hatay'ın künefesi meşhurdur. ,Nesnel
Bu kokteylin tadı yaz akşamlarını hatırlatıyor. ,Öznel,,Pamukkale travertenleri doğal bir oluşumdur. ,Nesnel
Onun bilgeliği her zaman hayranlık uyandırıyor. ,Öznel,,Kapadokya'daki peri bacaları ilgi çekicidir. ,Nesnel
Bu oyunun karakterleri çok gerçekçi ve derin. ,Öznel,,Efes Antik Kenti İzmir yakınlarındadır. ,Nesnel
O kafenin pencere manzarası ruhumu dinlendiriyor. ,Öznel,,Ayasofya İstanbul'da bulunur. ,Nesnel
Bu kitabın dili beni hikayenin içine çekiyor. ,Öznel,,Topkapı Sarayı Osmanlı İmparatorluğu'na ev sahipliği yapmıştır. ,Nesnel
Onun sabrı çevresine örnek oluyor. ,Öznel,,Galata Kulesi İstanbul'un sembollerinden biridir. ,Nesnel
Bu filmin temposu beni hiç sıkmadı. ,Öznel,,Boğaziçi İstanbul'u iki yakaya ayırır. ,Nesnel
O şarkının sözleri kalbime işledi. ,Öznel,,Anıtkabir Mustafa Kemal Atatürk'ün anıt mezarıdır. ,Nesnel
Bu battaniyenin yumuşaklığı uykumu güzelleştiriyor. ,Öznel,,Türk Lirası Türkiye'nin resmi para birimidir. ,Nesnel
Onun tutkusu herkesi harekete geçiriyor. ,Öznel,,Türkiye Büyük Millet Meclisi Ankara'dadır. ,Nesnel
Bu manzaranın sakinliği zihnimi berraklaştırıyor. ,Öznel,,Türkiye Cumhuriyeti 1923 yılında kurulmuştur. ,Nesnel
O filmin oyuncu kadrosu muhteşem bir uyum içinde. ,Öznel,,Türkiye'nin komşuları arasında Suriye ve Irak bulunur. ,Nesnel
Bu çantanın tasarımı hem şık hem pratik. ,Öznel,,Türk kahvesi geleneksel bir içecektir. ,Nesnel
Onun neşesi bulaşıcı bir enerji yaratıyor. ,Öznel,,Baklava tatlı bir hamur işidir. ,Nesnel
Bu oyunun müzikleri beni başka bir boyuta taşıyor. ,Öznel,,Kebap farklı çeşitlerde yapılır. ,Nesnel
O tablonun fırça darbeleri duygularımı harekete geçiriyor. ,Öznel,,Zeytinyağlılar Türk mutfağının önemli bir parçasıdır. ,Nesnel
Bu kahvaltı tabağı gözlerime ziyafet çekiyor. ,Öznel,,Hamsi Karadeniz'e özgü bir balıktır. ,Nesnel
Onun dürüstlüğü her zaman saygı uyandırıyor. ,Öznel,,Türk halıları dünyaca ünlüdür. ,Nesnel
Bu filmin mesajı beni derin düşüncelere daldırdı. ,Öznel,,Nazar boncuğu kötü enerjiden koruduğuna inanılan bir nesnedir. ,Nesnel
O şarkıcının sahne performansı büyüleyici. ,Öznel,,Türk hamamı geleneksel bir banyo ritüelidir. ,Nesnel
Bu yastığın konforu uykularımı şenlendiriyor. ,Öznel,,Kına gecesi düğünden önce yapılan bir kutlamadır. ,Nesnel
Onun yaratıcılığı sınırları zorluyor. ,Öznel,,Ramazan Bayramı dini bir bayramdır. ,Nesnel
Bu oyunun mekanikleri beni kendine hayran bıraktı. ,Öznel,,Kurban Bayramı da dini bir bayramdır. ,Nesnel
O kafenin ahşap kokusu nostalji uyandırıyor. ,Öznel,,23 Nisan Ulusal Egemenlik ve Çocuk Bayramı'dır. ,Nesnel
Bu filmin çekimleri adeta bir sanat eseri. ,Öznel,,"19 Mayıs Atatürk'ü Anma, Gençlik ve Spor Bayramı'dır. ",Nesnel
Onun tevazusu kalplere dokunuyor. ,Öznel,,30 Ağustos Zafer Bayramı'dır. ,Nesnel
Bu çikolata sosu tatlıyı unutulmaz kılıyor. ,Öznel,,29 Ekim Cumhuriyet Bayramı'dır. ,Nesnel
O hikayenin sonu beni şoke etti. ,Öznel,,Türkiye'de dört mevsim yaşanır. ,Nesnel
Bu oyunun ses tasarımı inanılmaz etkileyici. ,Öznel,,Yaz ayları genellikle sıcak ve kuraktır. ,Nesnel
Onun kararlılığı çevresine güç veriyor. ,Öznel,,Kış ayları bazı bölgelerde kar yağışlı geçer. ,Nesnel
Bu manzaranın renkleri ruhumu canlandırıyor. ,Öznel,,İlkbaharda doğa canlanır. ,Nesnel
O filmin kurgusu zekice ve sürprizlerle dolu. ,Öznel,,Sonbaharda yapraklar sararır. ,Nesnel
Bu çayın sıcaklığı içimi ısıtıyor. ,Öznel,,Türkiye'nin en yüksek dağı Ağrı Dağı'dır. ,Nesnel
Onun içtenliği her ortamda fark yaratıyor. ,Öznel,,Tuz Gölü Türkiye'nin en büyük ikinci gölüdür. ,Nesnel
Bu oyunun hikayesi beni duygulandırdı. ,Öznel,,Van Gölü Türkiye'nin en büyük gölüdür. ,Nesnel
O tablonun kompozisyonu gözlerimi kamaştırıyor. ,Öznel,,Fırat ve Dicle nehirleri Güneydoğu Anadolu'da bulunur. ,Nesnel
Bu pastanın lezzeti damakta iz bırakıyor. ,Öznel,,Kızılırmak Türkiye'nin en uzun nehridir. ,Nesnel
Onun rehberliği her zaman yol gösterici. ,Öznel,,Antalya önemli bir turizm merkezidir. ,Nesnel
Bu filmin ışıkları hikayeyi daha etkileyici kılıyor. ,Öznel,,Bodrum da popüler bir tatil beldesidir. ,Nesnel
O şarkının akustiği ruhuma işliyor. ,Öznel,,Kuşadası da turistik bir şehirdir. ,Nesnel
Bu koltuğun tasarımı sırtımı rahatlatıyor. ,Öznel,,Marmaris de sevilen bir tatil yeridir. ,Nesnel
Onun esprileri günümü neşelendiriyor. ,Öznel,,Alanya da turistlerin ilgisini çeker. ,Nesnel
Bu oyunun diyalogları çok doğal ve etkileyici. ,Öznel,,Trabzon Karadeniz'in önemli bir şehridir. ,Nesnel
O kafenin atmosferi beni kendine çekiyor. ,Öznel,,Bursa tarihi bir şehirdir. ,Nesnel
Bu filmin finali beklenmedik bir tat bıraktı. ,Öznel,,Konya Mevlana'nın şehridir. ,Nesnel
Onun azmi herkese örnek oluyor. ,Öznel,,Gaziantep mutfağıyla ünlüdür. ,Nesnel
Bu çikolatanın kıvamı tam istediğim gibi. ,Öznel,,İzmir Ege'nin incisidir. ,Nesnel
O hikayenin karakterleri çok katmanlı ve gerçekçi. ,Öznel,,Ankara modern bir şehirdir. ,Nesnel
Bu oyunun oynanışı beni saatlerce eğlendiriyor. ,Öznel,,Kayseri Erciyes Dağı'na yakındır. ,Nesnel
Onun gülümseyişi içimi ısıtıyor. ,Öznel,,Diyarbakır tarihi surlarıyla bilinir. ,Nesnel
Bu filmin sahneleri görsel bir ziyafet sunuyor. ,Öznel,,Mardin taş evleriyle dikkat çeker. ,Nesnel
O şarkının tınısı duygularımı harekete geçiriyor. ,Öznel,,Şanlıurfa Balıklıgöl'e ev sahipliği yapar. ,Nesnel
Bu kumaşın renkleri gözlerime hitap ediyor. ,Öznel,,Samsun Karadeniz kıyısında yer alır. ,Nesnel
Onun samimiyeti kalplere dokunuyor. ,Öznel,,Erzurum kış turizmiyle bilinir. ,Nesnel
Bu oyunun bulmacaları zihnimi çalıştırıyor. ,Öznel,,Sivas tarihi yapılarıyla ön plana çıkar. ,Nesnel
O filmin hikayesi beni başka bir gerçekliğe taşıdı. ,Öznel,,Malatya kayısısıyla meşhurdur. ,Nesnel
Bu çayın aroması sabahlarımı renklendiriyor. ,Öznel,,Denizli tekstil ürünleriyle tanınır. ,Nesnel
Onun enerjisi odayı canlandırıyor. ,Öznel,,Aydın inciriyle bilinir. ,Nesnel
Bu oyunun atmosferi beni tamamen içine çekiyor. ,Öznel,,Muğla turistik beldeleriyle ünlüdür. ,Nesnel
O tablonun duygusu kalbime dokundu. ,Öznel,,Eskişehir öğrenci şehridir. ,Nesnel
Bugün ahmet çok mutsuz gözüküyordu ,Öznel,,Tekirdağ şaraplarıyla bilinir. ,Nesnel
Kalemin çok güzel ,Öznel,,Kırklareli doğal güzelliklere sahiptir. ,Nesnel
Adana çok sıcak ,Öznel,,Edirne tarihi başkenttir. ,Nesnel
"Yeşilliklerin içinde bir dere kenarı, insana huzur verir. ",Öznel,,Çanakkale şehitlikleriyle anılır. ,Nesnel
" Bu uçsuz bucaksız deniz, insana yaşamdaki zavallılığını anımsatır. ",Öznel,,Balıkesir zeytin ve termal kaynaklarıyla bilinir. ,Nesnel
"Başarılı olmak için, her şeyden önce başarıya koşullanmak gerekir. ",Öznel,,Manisa üzümüyle meşhurdur. ,Nesnel
Oltayı  atıp saatlerce beklemek bana zaman kaybı gibi geliyor. ,Öznel,,Uşak halılarıyla tanınır. ,Nesnel
Cahit Sıtkı’nın şiirlerinin tadı başka bir ozanda yoktur. ,Öznel,,Afyonkarahisar termal sularıyla bilinir. ,Nesnel
 Kendisine yapılan iyiliği takdir etmeyecek insan yoktur. ,Öznel,,Kütahya çinileriyle ünlüdür. ,Nesnel
 Sanatçıların çocukluk anılarının anlatıldığı bu kitap herkesin ilgisini çekecek nitelikte. ,Öznel,,Bilecik Osmanlı İmparatorluğu'nun kurulduğu yerdir. ,Nesnel
Çok iyi bir insandır.,Öznel,,Bolu doğal güzellikleriyle bilinir. ,Nesnel
  Bence Handan ile Aslı'nın arası açık. ,Öznel,,Sakarya sanayi şehridir. ,Nesnel
 Ondan hoşlanıp hoşlanmadığımı hala bilmiyorum. ,Öznel,,Kocaeli sanayi ve liman şehridir. ,Nesnel
Bugün hava kapalı olduğu için içim sıkılıyor. ,Öznel,,Düzce fındığıyla bilinir. ,Nesnel
Sen hayatımda gördüğüm en tembel insanlardan birisin. ,Öznel,,Zonguldak kömür madenleriyle tanınır. ,Nesnel
Ben çok mutluyum ,Öznel,,Bartın Amasra gibi şirin sahil kasabalarına sahiptir. ,Nesnel
O gün çok güzel bir gün oldu.  ,Öznel,,Karabük demir çelik sanayisiyle bilinir. ,Nesnel
Benim için en önemli şey sevgidir.  ,Öznel,,Kastamonu tarihi evleriyle dikkat çeker. ,Nesnel
O an çok korktum.  ,Öznel,,Çankırı kaya tuzuyla bilinir. ,Nesnel
Benim hayallerim çok büyük.  ,Öznel,,Yozgat tahıl ambarı olarak bilinir. ,Nesnel
"Benim düşüncem, bu işin çok zor olduğunu düşünüyorum.  ",Öznel,,Kırıkkale sanayi tesislerine sahiptir. ,Nesnel
O gün çok fazla düşünmedim.  ,Öznel,,Aksaray Kapadokya'ya yakındır. ,Nesnel
"Benim için en önemli şey, doğruyu söylemektir.  ",Öznel,,Niğde elmasıyla meşhurdur. ,Nesnel
"O an çok fazla düşünmedim, sadece hissettim.  ",Öznel,,Nevşehir peribacalarıyla ünlüdür. ,Nesnel
"Benim hayallerim, çok büyük ve güzel.  ",Öznel,,Kırşehir termal kaynaklara sahiptir. ,Nesnel
"Benim ilk işim, çok zor olmadı.  ",Öznel,,Osmaniye yer fıstığıyla bilinir. ,Nesnel
O gün çok fazla deneyim kazandım.  ,Öznel,,Adıyaman Nemrut Dağı'na ev sahipliği yapar. ,Nesnel
"Benim için en önemli şey, deneyimdir.  ",Öznel,,Kahramanmaraş dondurmasıyla meşhurdur. ,Nesnel
O an çok fazla deneyim kazandım.  ,Öznel,,Şırnak dağlık bir bölgedir. ,Nesnel
"Benim hayallerim, çok büyük ve deneyimlidir.  ",Öznel,,Hakkari yüksek dağları ve yaylalarıyla bilinir. ,Nesnel
Şarkının en güzel yeri son bölümü.  ,Öznel,,Bitlis tarihi yapılarıyla dikkat çeker. ,Nesnel
Yazın hiç de güzel değil. ,Öznel,,Iğdır Ağrı Dağı'nın eteklerinde yer alır. ,Nesnel
 Koltukların rengi pek hoşuma gitmedi. ,Öznel,,"Osmanlı Devleti, 1299 yılında kurulmuştur. ",Nesnel
Balığın rengine bayıldım. ,Öznel,,"Fransız İhtilali, 1789 yılında gerçekleşmiştir. ",Nesnel
 Kıyafetinin düğmeleri elbise ile uyumlu olmuş. ,Öznel,,"Amerika Birleşik Devletleri, 1776 yılında bağımsızlığını ilan etmiştir. ",Nesnel
Son yaptığı sandalyeyi özenle boyadı ,Öznel,,"II. Dünya Savaşı, 1939-1945 yılları arasında olmuştur. ",Nesnel
Kitapların kapağını ilginç buldum. ,Öznel,,"Berlin Duvarı, 1989 yılında yıkılmıştır. ",Nesnel
 Saçlarını çok beğendim. ,Öznel,,"Ay'a ilk insan, 1969 yılında ayak basmıştır. ",Nesnel
Sonbaharda buralar çok güzel olur.  ,Öznel,,"Roma İmparatorluğu, M.S. 476 yılında yıkılmıştır. ",Nesnel
Onun şiirlerinde sevgi bir başkadır.  ,Öznel,,"""Sefiller"" romanı Victor Hugo tarafından yazılmıştır. ",Nesnel
Sen olmazsan buralarda yaşanmaz.  ,Öznel,,"""Küçük Prens"", Antoine de Saint-Exupéry'nin eseridir. ",Nesnel
Bu şiirin eşi benzeri yoktur. ,Öznel,,"""Nutuk"", Mustafa Kemal Atatürk tarafından yazılmıştır. ",Nesnel
Türkiye’nin en iyi sesi Neşet Ertaş’tır ,Öznel,,"""Divan-ı Lügat-it Türk"", Kaşgarlı Mahmud tarafından yazılmıştır. ",Nesnel
Tarhanayı Maraşlılardan iyi yapamazlar ,Öznel,,"""İlyada"" ve ""Odysseia"", Homeros'un eserleridir. ",Nesnel
 Kimse onun yemeklerine hayır diyemez.  ,Öznel,,"""Hamlet"", William Shakespeare tarafından yazılmıştır. ",Nesnel
Yemekten sonra çay içmek insana iyi geliyor ,Öznel,,"""Suç ve Ceza"", Fyodor Dostoyevski'nin romanıdır. ",Nesnel
Üzerine giydiği mont onda çok eğrelti durmuş. ,Öznel,,"""Don Kişot"", Miguel de Cervantes tarafından yazılmıştır. ",Nesnel
Sarı ile lacivertten uyumu başka hiçbir renk ikilisinde bulunmaz ,Öznel,,"""Savaş ve Barış"", Lev Tolstoy'un eseridir. ",Nesnel
 Birilerine yaranmak için iş yapmak bana her zaman saçma gelir.  ,Öznel,,"""Yüzüklerin Efendisi"", J.R.R. Tolkien tarafından yazılmıştır. ",Nesnel
Dün hava çok güzeldi.  ,Öznel,,"Futbol, 11'er kişilik iki takım arasında oynanır. ",Nesnel
Bu elbise sana çok yakışmış. ,Öznel,,"Basketbol maçları, 4 periyottan oluşur. ",Nesnel
Sergideki en güzel tabloyu satın aldı.  ,Öznel,,Tenis maçları setler halinde oynanır. ,Nesnel
Orhan Veli'nin şiirlerini çok etkileyici buluyorum.  ,Öznel,,"Olimpiyatlar, her dört yılda bir düzenlenir. ",Nesnel
Arkadaşlarımla birlikte çarpıcı bir sunum hazırladık.  ,Öznel,,"Dünya Kupası, FIFA tarafından organize edilir. ",Nesnel
Başarılı şairin imza gününe katılmıştık.  ,Öznel,,"Maraton, 42.195 kilometrelik bir koşudur. ",Nesnel
"Küresel ısınma sorunu, gezegenimizin geleceği için  çok önemlidir. ",Öznel,,"NBA, Amerika'daki profesyonel basketbol ligidir. ",Nesnel
Çiçek bakımı kolay bir iş değildir.  ,Öznel,,"Wimbledon, İngiltere'de düzenlenen bir tenis turnuvasıdır. ",Nesnel
Renklerin en güzelleri mor ve turuncudur.  ,Öznel,,"Formula 1, motor sporları yarışıdır. ",Nesnel
Kitap okumak çok eğlenceli bir aktivitedir.  ,Öznel,,"Tour de France, Fransa'da düzenlenen bir bisiklet yarışıdır. ",Nesnel
Şehrin tarihi ve doğal güzellikleri ile ilgili birbirinden ilginç bilgiler edindik.  ,Öznel,,Türkiye'de ilköğretim 8 yıl sürer. ,Nesnel
"O şarkıyı hiç sevmiyorum, bence sözleri çok anlamsız. ",Öznel,,Lise eğitimi genellikle 4 yıldır. ,Nesnel
"Kahveye şeker atmak, kahvenin tadını bozuyor. ",Öznel,,"Üniversite sınavı, Yükseköğretim Kurumları Sınavı (YKS) olarak adlandırılır. ",Nesnel
Dün yaptığımız toplantı çok güzel geçti. ,Öznel,,"Öğrenciler, ders yılı boyunca sınavlara girerler. ",Nesnel
"Kız gibi donanmış asri otel, bildiğimiz eski zincirli hanlardan biri.  ",Öznel,,"Milli Eğitim Bakanlığı, Türkiye'deki eğitimden sorumludur. ",Nesnel
Sezen Aksu Türkiye'nin en iyi sanatçısıdır. ,Öznel,,Okullar genellikle Eylül ayında açılır. ,Nesnel
"Bu uçsuz bucaksız deniz, insana yaşamdaki zavallılığını anımsatır. ",Öznel,,"Karneler, dönem sonunda öğrencilere verilir. ",Nesnel
"Başarılı olmak için, her şeyden önce başarıya koşullanmak gerekir. ",Öznel,,"Yaz tatili, genellikle Haziran ayında başlar. ",Nesnel
Oltayı atıp saatlerce beklemek bana zaman kaybı gibi geliyor. ,Öznel,,"Okul öncesi eğitim, 3-6 yaş arası çocuklara yöneliktir. ",Nesnel
Cahit Sıtkı’nın şiirlerinin tadı başka bir ozanda yoktur. ,Öznel,,"Üniversiteler, lisans ve lisansüstü eğitim verir. ",Nesnel
Kendisine yapılan iyiliği takdir etmeyecek insan yoktur. ,Öznel,,İnsan vücudu yaklaşık %60 sudan oluşur. ,Nesnel
Sanatçıların çocukluk anılarının anlatıldığı bu kitap herkesin ilgisini çekecek nitelikte. ,Öznel,,Normal bir insanın vücut sıcaklığı 36.5-37°C arasındadır. ,Nesnel
Dünyada onun kadar mal biri yoktur. ,Öznel,,"Kalp, kanı vücuda pompalayan organdır. ",Nesnel
"Şairin, sesini daha geniş kitlelere duyurabilmesi için dergilerde daha sık görülmesinde yarar var.  ",Öznel,,"Akciğerler, solunum sisteminin bir parçasıdır. ",Nesnel
"En iyi tatil, ormanda yapılan tatildir.  ",Öznel,,"Aşılar, bağışıklık sistemini güçlendirir. ",Nesnel
Kuşkonağı kuşkonağı olalı böyle ıssız olmamıştı.   ,Öznel,,"Dişler, sindirim sisteminin başlangıç noktasıdır. ",Nesnel
Babam en çok sevdiği köy kuşkonağıdır.   ,Öznel,,"Gözler, görme duyusunu sağlar. ",Nesnel
 Ben şiir yazmayı severim.   ,Öznel,,"Kulaklar, işitme ve denge organıdır. ",Nesnel
Voleybol en faydalı spordur.   ,Öznel,,"Karaciğer, vücuttaki toksinleri temizler. ",Nesnel
 Türkiye’de en güzel kış tatili Ilgaz’da yapılır.   ,Öznel,,"Beyin, merkezi sinir sisteminin kontrol merkezidir. ",Nesnel
 Operayı en güzel italyanlar okur. ,Öznel,,"Protein, vücut için gerekli bir besin öğesidir. ",Nesnel
"En kudretli insan, kendisine hâkim olandır.  ",Öznel,,"Karbonhidratlar, enerji sağlar. ",Nesnel
Felaketlerin üstünde dimdik oturan insan soylu ve cesurdur. ,Öznel,,"Vitaminler, bağışıklık sistemini destekler. ",Nesnel
"Güzel ahlak, en güzel bir dosttur.  ",Öznel,,"Demir, kan üretimi için önemlidir. ",Nesnel
"Tecrübe, öğretmenlerin en iyisidir yalnız okul masrafı ağırdır.  ",Öznel,,"Kalsiyum, kemik sağlığı için gereklidir. ",Nesnel
"Yüz, fikirlerin tatlı bir fihristtidir. ",Öznel,,"Lifli gıdalar, sindirimi kolaylaştırır. ",Nesnel
"Güzel, şirin bir yerdir Edremit. ",Öznel,,"Şeker, enerji kaynağıdır ancak fazla tüketimi zararlıdır. ",Nesnel
"Tiyatro, edebiyat tarihimizde herkesin beğendiği bir türdür. ",Öznel,,"Tuz, vücut için gereklidir ancak aşırı tüketimi tansiyonu yükseltebilir. ",Nesnel
Bu doyumsuz eser elbette herkesin beğenisini kazanır. ,Öznel,,"Su, yaşam için vazgeçilmezdir. ",Nesnel
Yazar bu karışık konuyu büyük bir ustalıkla işlemiştir. ,Öznel,,"Yağlar, vücut için enerji deposudur. ",Nesnel
"Dinlemeyi öğrenin, bazı fırsatlar kapıyı hafif tıklatır. ",Öznel,,Türkiye'nin en uzun nehri Kızılırmak’tır. ,Nesnel
"Doğa, her yaprağında en derin yazılar olan biricik kitaptır. ",Öznel,,"Ay'da atmosfer yoktur, bu yüzden ses iletilemez. ",Nesnel
Türkiye’nin en güzel şehri Ankara’dır. ,Öznel,,"Leonardo da Vinci, Mona Lisa'yı 1503-1506 yılları arasında yaptı. ",Nesnel
Duyan bir kalp için ölümden de beter dertler vardır. ,Öznel,,"Türkiye, Asya ve Avrupa kıtaları üzerinde yer alır. ",Nesnel
Dünyanın en tehlikeli yaratığı sadece hukuk bilen hukukçudur. ,Öznel,,İlk yazı Sümerler tarafından icat edilmiştir. ,Nesnel
Romanın en etkili tarafı anlatımıdır bence. ,Öznel,,"Güneş, Dünya’dan yaklaşık 150 milyon kilometre uzaklıktadır. ",Nesnel
Tasasız insanlar hayatı daha iyi yaşar. ,Öznel,,Osmanlı Devleti 1299 yılında kurulmuştur. ,Nesnel
En akıllı insanlar gelecek kaygısı taşımayanlardır. ,Öznel,,"Everest Dağı, 8.848 metre yüksekliğiyle dünyanın en yüksek zirvesidir. ",Nesnel
Bahçemizin en çekici tarafı çam ağaçlarının olduğu taraftır. ,Öznel,,DNA çift sarmal yapıya sahiptir. ,Nesnel
Şehrin en büyüleyici tarafı sessizliğiydi. ,Öznel,,1 litre suyun ağırlığı 1 kilogramdır. ,Nesnel
Türkiye’nin en güzel kışları Erzurum’da yaşanır. ,Öznel,,Türkiye'nin en büyük gölü Van Gölü’dür. ,Nesnel
"İçerik, bir kitabın en ilginç özelliğidir. ",Öznel,,"Shakespeare'in en bilinen eserlerinden biri ""Hamlet""tir. ",Nesnel
Bir yazarın üslubu kişiliğini ortaya koyan en önemli ölçüttür. ,Öznel,,Elektriği ilk kullanan medeniyet Antik Yunan’dır (balıklarla deney). ,Nesnel
Okulun en güzel yılları genellikle ilk yıllar olur. ,Öznel,,Bir yıl 365 gün 6 saattir. ,Nesnel
Yüzmek futboldan her zaman daha eğlencelidir. ,Öznel,,Dünya’nın en kalabalık ülkesi Çin’dir. ,Nesnel
"Şiir kitapları, romanlardan daha etkileyici olduğu için daha çok okunur. ",Öznel,,Türkiye’nin başkenti Ankara’dır. ,Nesnel
"Bahar mevsimi, mevsimlerin en şirinidir. ",Öznel,,En küçük asal sayı 2’dir. ,Nesnel
Renklerin en can alıcı olanı her zaman kırmızıdır. ,Öznel,,"En hızlı hayvan çita değil, peregrin şahindir (dalgıç kuş). ",Nesnel
"Açık yürekle konuşan düşman, içten pazarlıklı düşmandan iyidir.  ",Öznel,,İslamiyet’in kutsal kitabı Kur’an-ı Kerim’dir. ,Nesnel
Adaletsizlik eden adaletsizliğe uğrayandan daha mutsuzdur.  ,Öznel,,"Yunanca'da ""filozof"" kelimesi ""bilgelik sevgisi"" anlamına gelir. ",Nesnel
"Af, insanlık dilinin en tatlı kelimesidir.  ",Öznel,,Türkiye’de en çok konuşulan ikinci dil Kürtçe’dir. ,Nesnel
Affedilmenin verdiği ıstırap kadar kötü bir şey olamaz. ,Öznel,,"İstanbul, iki kıtada bulunan tek şehirdir. ",Nesnel
Affetmek ve unutmak iyi insanların intikamıdır. ,Öznel,,İlk modern olimpiyatlar 1896’da Atina’da düzenlenmiştir. ,Nesnel
"Affın en güzeli, hasmını ezmeye muktedir iken yapılanıdır. ",Öznel,,"Plüton, 2006 yılında gezegen statüsünden çıkarılmıştır. ",Nesnel
